        Предмет Номер класса  Ряды в классе  ID
0  Русский язык            1     первый ряд  01
1         Химия            2     второй ряд  02
2        Физика            3     третий ряд  03
3      Биология            4  четвертый ряд  04
4   Информатика            5      пятый ряд  05
5    Литература            6     шестой ряд  06
6       История            7    седьмой ряд  07
        Предмет Номер класса  Ряды в классе  ID
0  Русский язык            1     первый ряд  01
1         Химия            2     второй ряд  02
2        Физика            3     третий ряд  03
3      Биология            4  четвертый ряд  04
4   Информатика            5      пятый ряд  05
5    Литература            6     шестой ряд  06
6       История            7    седьмой ряд  07
        Предмет Номер класса  Ряды в классе  ID
0  Русский язык            1     первый ряд  01
1         Химия            2     второй ряд  02
2        Физика            3     третий ряд  03
3      Биология            4  четвертый ряд  04
4   Информатика            5      пятый ряд  05
5    Литература            6     шестой ряд  06
6       История            7    седьмой ряд  07
        Предмет Номер класса  Ряды в классе  ID
0  Русский язык            1     первый ряд  01
1         Химия            2     второй ряд  02
2        Физика            3     третий ряд  03
3      Биология            4  четвертый ряд  04
4   Информатика            5      пятый ряд  05
5    Литература            6     шестой ряд  06
6       История            7    седьмой ряд  07
        Предмет Номер класса  Ряды в классе  ID
0  Русский язык            1     первый ряд  01
1         Химия            2     второй ряд  02
2        Физика            3     третий ряд  03
3      Биология            4  четвертый ряд  04
4   Информатика            5      пятый ряд  05
5    Литература            6     шестой ряд  06
6       История            7    седьмой ряд  07
